trace,l1p,l2p,repl,inc,metric,value
dataCaching,no,ip_stride,kpcr,EXC,llc_mpki,6.37031
dataCaching,no,ip_stride,kpcr,EXC,l1_evict_inc,0
dataCaching,no,ip_stride,kpcr,EXC,l2_evict_inc,0
dataCaching,no,next_line,lru,NON,ipc,0.404828
dataCaching,no,next_line,lru,NON,cycles,2470185102
dataCaching,no,next_line,lru,NON,l1_evict,11377580
dataCaching,no,next_line,lru,NON,l2_evict,7150857
dataCaching,no,next_line,lru,NON,l3_evict,2641500
dataCaching,no,next_line,lru,NON,llc_mpki,1.48927
dataCaching,no,next_line,lru,NON,l1_evict_inc,0
dataCaching,no,next_line,lru,NON,l2_evict_inc,0
dataCaching,no,next_line,lru,EXC,ipc,0.40511
dataCaching,no,next_line,lru,EXC,cycles,2468468106
dataCaching,no,next_line,lru,EXC,l1_evict,11377609
dataCaching,no,next_line,lru,EXC,l2_evict,7163393
dataCaching,no,next_line,lru,EXC,l3_evict,5163269
dataCaching,no,next_line,lru,EXC,llc_mpki,6.37545
dataCaching,no,next_line,lru,EXC,l1_evict_inc,0
dataCaching,no,next_line,lru,EXC,l2_evict_inc,0
dataCaching,no,next_line,eaf,NON,ipc,0.412498
dataCaching,no,next_line,eaf,NON,cycles,2424252699
dataCaching,no,next_line,eaf,NON,l1_evict,11364531
dataCaching,no,next_line,eaf,NON,l2_evict,7163011
dataCaching,no,next_line,eaf,NON,l3_evict,1769373
dataCaching,no,next_line,eaf,NON,llc_mpki,0.901795
dataCaching,no,next_line,eaf,NON,l1_evict_inc,0
dataCaching,no,next_line,eaf,NON,l2_evict_inc,0
dataCaching,no,next_line,eaf,EXC,ipc,0.39832
dataCaching,no,next_line,eaf,EXC,cycles,2510545743
dataCaching,no,next_line,eaf,EXC,l1_evict,11364372
dataCaching,no,next_line,eaf,EXC,l2_evict,7175354
dataCaching,no,next_line,eaf,EXC,l3_evict,6632732
dataCaching,no,next_line,eaf,EXC,llc_mpki,7.12896
dataCaching,no,next_line,eaf,EXC,l1_evict_inc,0
dataCaching,no,next_line,eaf,EXC,l2_evict_inc,0
dataCaching,no,next_line,ship,NON,ipc,0.410394
dataCaching,no,next_line,ship,NON,cycles,2436682338
dataCaching,no,next_line,ship,NON,l1_evict,11368336
dataCaching,no,next_line,ship,NON,l2_evict,7242700
dataCaching,no,next_line,ship,NON,l3_evict,2001353
dataCaching,no,next_line,ship,NON,llc_mpki,1.07116
dataCaching,no,next_line,ship,NON,l1_evict_inc,0
dataCaching,no,next_line,ship,NON,l2_evict_inc,0
dataCaching,no,next_line,ship,EXC,ipc,0.398145
dataCaching,no,next_line,ship,EXC,cycles,2511649831
dataCaching,no,next_line,ship,EXC,l1_evict,11368219
dataCaching,no,next_line,ship,EXC,l2_evict,7252821
dataCaching,no,next_line,ship,EXC,l3_evict,6674421
dataCaching,no,next_line,ship,EXC,llc_mpki,7.20044
dataCaching,no,next_line,ship,EXC,l1_evict_inc,0
dataCaching,no,next_line,ship,EXC,l2_evict_inc,0
dataCaching,no,next_line,drrip,NON,ipc,0.411498
dataCaching,no,next_line,drrip,NON,cycles,2430143632
dataCaching,no,next_line,drrip,NON,l1_evict,11368368
dataCaching,no,next_line,drrip,NON,l2_evict,7242707
dataCaching,no,next_line,drrip,NON,l3_evict,1888596
dataCaching,no,next_line,drrip,NON,llc_mpki,0.998591
dataCaching,no,next_line,drrip,NON,l1_evict_inc,0
dataCaching,no,next_line,drrip,NON,l2_evict_inc,0
dataCaching,no,next_line,drrip,EXC,ipc,0.397376
dataCaching,no,next_line,drrip,EXC,cycles,2516506501
dataCaching,no,next_line,drrip,EXC,l1_evict,11368218
dataCaching,no,next_line,drrip,EXC,l2_evict,7252797
dataCaching,no,next_line,drrip,EXC,l3_evict,7438557
dataCaching,no,next_line,drrip,EXC,llc_mpki,7.6021
dataCaching,no,next_line,drrip,EXC,l1_evict_inc,0
dataCaching,no,next_line,drrip,EXC,l2_evict_inc,0
dataCaching,no,next_line,kpcr,NON,ipc,0.408552
dataCaching,no,next_line,kpcr,NON,cycles,2447671386
dataCaching,no,next_line,kpcr,NON,l1_evict,11368284
dataCaching,no,next_line,kpcr,NON,l2_evict,7242695
dataCaching,no,next_line,kpcr,NON,l3_evict,2175410
dataCaching,no,next_line,kpcr,NON,llc_mpki,1.41299
dataCaching,no,next_line,kpcr,NON,l1_evict_inc,0
dataCaching,no,next_line,kpcr,NON,l2_evict_inc,0
dataCaching,no,next_line,kpcr,EXC,ipc,0.398369
dataCaching,no,next_line,kpcr,EXC,cycles,2510238205
dataCaching,no,next_line,kpcr,EXC,l1_evict,11368224
dataCaching,no,next_line,kpcr,EXC,l2_evict,7252822
dataCaching,no,next_line,kpcr,EXC,l3_evict,6724307
dataCaching,no,next_line,kpcr,EXC,llc_mpki,7.22602
dataCaching,no,next_line,kpcr,EXC,l1_evict_inc,0
dataCaching,no,next_line,kpcr,EXC,l2_evict_inc,0
dataCaching,no,daampm,lru,NON,ipc,0.40602
dataCaching,no,daampm,lru,NON,cycles,2462933217
dataCaching,no,daampm,lru,NON,l1_evict,11377646
dataCaching,no,daampm,lru,NON,l2_evict,5723051
dataCaching,no,daampm,lru,NON,l3_evict,1423689
dataCaching,no,daampm,lru,NON,llc_mpki,1.32265
dataCaching,no,daampm,lru,NON,l1_evict_inc,0
dataCaching,no,daampm,lru,NON,l2_evict_inc,0
dataCaching,no,daampm,lru,EXC,ipc,0.40683
dataCaching,no,daampm,lru,EXC,cycles,2458027099
dataCaching,no,daampm,lru,EXC,l1_evict,11377666
dataCaching,no,daampm,lru,EXC,l2_evict,5729491
dataCaching,no,daampm,lru,EXC,l3_evict,2683575
dataCaching,no,daampm,lru,EXC,llc_mpki,5.21428
dataCaching,no,daampm,lru,EXC,l1_evict_inc,0
dataCaching,no,daampm,lru,EXC,l2_evict_inc,0
dataCaching,no,daampm,eaf,NON,ipc,0.412026
dataCaching,no,daampm,eaf,NON,cycles,2427029099
dataCaching,no,daampm,eaf,NON,l1_evict,11364549
dataCaching,no,daampm,eaf,NON,l2_evict,5736603
dataCaching,no,daampm,eaf,NON,l3_evict,970031
dataCaching,no,daampm,eaf,NON,llc_mpki,0.917682
dataCaching,no,daampm,eaf,NON,l1_evict_inc,0
dataCaching,no,daampm,eaf,NON,l2_evict_inc,0
dataCaching,no,daampm,eaf,EXC,ipc,0.396876
dataCaching,no,daampm,eaf,EXC,cycles,2519676498
dataCaching,no,daampm,eaf,EXC,l1_evict,11364354
dataCaching,no,daampm,eaf,EXC,l2_evict,5742765
dataCaching,no,daampm,eaf,EXC,l3_evict,4478204
dataCaching,no,daampm,eaf,EXC,llc_mpki,6.17527
dataCaching,no,daampm,eaf,EXC,l1_evict_inc,0
dataCaching,no,daampm,eaf,EXC,l2_evict_inc,0
dataCaching,no,daampm,ship,NON,ipc,0.410259
dataCaching,no,daampm,ship,NON,cycles,2437482857
dataCaching,no,daampm,ship,NON,l1_evict,11368375
dataCaching,no,daampm,ship,NON,l2_evict,5783587
dataCaching,no,daampm,ship,NON,l3_evict,1048161
dataCaching,no,daampm,ship,NON,llc_mpki,0.994903
dataCaching,no,daampm,ship,NON,l1_evict_inc,0
dataCaching,no,daampm,ship,NON,l2_evict_inc,0
dataCaching,no,daampm,ship,EXC,ipc,0.396729
dataCaching,no,daampm,ship,EXC,cycles,2520612200
dataCaching,no,daampm,ship,EXC,l1_evict,11368208
dataCaching,no,daampm,ship,EXC,l2_evict,5787334
dataCaching,no,daampm,ship,EXC,l3_evict,4493070
dataCaching,no,daampm,ship,EXC,llc_mpki,6.19785
dataCaching,no,daampm,ship,EXC,l1_evict_inc,0
dataCaching,no,daampm,ship,EXC,l2_evict_inc,0
dataCaching,no,daampm,drrip,NON,ipc,0.411092
dataCaching,no,daampm,drrip,NON,cycles,2432545903
dataCaching,no,daampm,drrip,NON,l1_evict,11368381
dataCaching,no,daampm,drrip,NON,l2_evict,5783575
dataCaching,no,daampm,drrip,NON,l3_evict,1036233
dataCaching,no,daampm,drrip,NON,llc_mpki,0.983917
dataCaching,no,daampm,drrip,NON,l1_evict_inc,0
dataCaching,no,daampm,drrip,NON,l2_evict_inc,0
dataCaching,no,daampm,drrip,EXC,ipc,0.396273
dataCaching,no,daampm,drrip,EXC,cycles,2523514026
dataCaching,no,daampm,drrip,EXC,l1_evict,11368208
dataCaching,no,daampm,drrip,EXC,l2_evict,5787301
dataCaching,no,daampm,drrip,EXC,l3_evict,4864698
dataCaching,no,daampm,drrip,EXC,llc_mpki,6.40157
dataCaching,no,daampm,drrip,EXC,l1_evict_inc,0
dataCaching,no,daampm,drrip,EXC,l2_evict_inc,0
dataCaching,no,daampm,kpcr,NON,ipc,0.409198
dataCaching,no,daampm,kpcr,NON,cycles,2443802636
dataCaching,no,daampm,kpcr,NON,l1_evict,11368355
dataCaching,no,daampm,kpcr,NON,l2_evict,5783580
dataCaching,no,daampm,kpcr,NON,l3_evict,1123597
dataCaching,no,daampm,kpcr,NON,llc_mpki,1.14377
dataCaching,no,daampm,kpcr,NON,l1_evict_inc,0
dataCaching,no,daampm,kpcr,NON,l2_evict_inc,0
dataCaching,no,daampm,kpcr,EXC,ipc,0.396954
dataCaching,no,daampm,kpcr,EXC,cycles,2519181584
dataCaching,no,daampm,kpcr,EXC,l1_evict,11368214
dataCaching,no,daampm,kpcr,EXC,l2_evict,5787307
dataCaching,no,daampm,kpcr,EXC,l3_evict,4493052
dataCaching,no,daampm,kpcr,EXC,llc_mpki,6.19835
dataCaching,no,daampm,kpcr,EXC,l1_evict_inc,0
dataCaching,no,daampm,kpcr,EXC,l2_evict_inc,0
dataCaching,no,bop,lru,NON,ipc,0.405723
dataCaching,no,bop,lru,NON,cycles,2464735594
dataCaching,no,bop,lru,NON,l1_evict,11377612
dataCaching,no,bop,lru,NON,l2_evict,7255495
dataCaching,no,bop,lru,NON,l3_evict,2977078
dataCaching,no,bop,lru,NON,llc_mpki,1.49439
dataCaching,no,bop,lru,NON,l1_evict_inc,0
dataCaching,no,bop,lru,NON,l2_evict_inc,0
dataCaching,no,bop,lru,EXC,ipc,0.405714
dataCaching,no,bop,lru,EXC,cycles,2464787502
dataCaching,no,bop,lru,EXC,l1_evict,11377621
dataCaching,no,bop,lru,EXC,l2_evict,7263892
dataCaching,no,bop,lru,EXC,l3_evict,5959480
dataCaching,no,bop,lru,EXC,llc_mpki,6.74026
dataCaching,no,bop,lru,EXC,l1_evict_inc,0
dataCaching,no,bop,lru,EXC,l2_evict_inc,0
dataCaching,no,bop,eaf,NON,ipc,0.413672
dataCaching,no,bop,eaf,NON,cycles,2417377074
dataCaching,no,bop,eaf,NON,l1_evict,11364545
dataCaching,no,bop,eaf,NON,l2_evict,7269066
dataCaching,no,bop,eaf,NON,l3_evict,2027624
dataCaching,no,bop,eaf,NON,llc_mpki,0.929686
dataCaching,no,bop,eaf,NON,l1_evict_inc,0
dataCaching,no,bop,eaf,NON,l2_evict_inc,0
dataCaching,no,bop,eaf,EXC,ipc,0.399723
dataCaching,no,bop,eaf,EXC,cycles,2501732284
dataCaching,no,bop,eaf,EXC,l1_evict,11364400
dataCaching,no,bop,eaf,EXC,l2_evict,7283376
dataCaching,no,bop,eaf,EXC,l3_evict,7367581
dataCaching,no,bop,eaf,EXC,llc_mpki,7.49182
dataCaching,no,bop,eaf,EXC,l1_evict_inc,0
dataCaching,no,bop,eaf,EXC,l2_evict_inc,0
dataCaching,no,bop,ship,NON,ipc,0.412137
dataCaching,no,bop,ship,NON,cycles,2426376383
dataCaching,no,bop,ship,NON,l1_evict,11368370
dataCaching,no,bop,ship,NON,l2_evict,7356900
dataCaching,no,bop,ship,NON,l3_evict,2174491
dataCaching,no,bop,ship,NON,llc_mpki,1.02091
dataCaching,no,bop,ship,NON,l1_evict_inc,0
dataCaching,no,bop,ship,NON,l2_evict_inc,0
dataCaching,no,bop,ship,EXC,ipc,0.399621
dataCaching,no,bop,ship,EXC,cycles,2502374148
dataCaching,no,bop,ship,EXC,l1_evict,11368254
dataCaching,no,bop,ship,EXC,l2_evict,7364560
dataCaching,no,bop,ship,EXC,l3_evict,7345804
dataCaching,no,bop,ship,EXC,llc_mpki,7.51858
dataCaching,no,bop,ship,EXC,l1_evict_inc,0
dataCaching,no,bop,ship,EXC,l2_evict_inc,0
